animal name,average male weight in kg,average female weight in kg,average lifespan in years,animal category_bird,animal category_fish,animal category_insect,animal category_invertebrates,animal category_mammal,animal category_reptiles,living_place_land,living_place_land-air,living_place_land-water-air,living_place_water,eggs or babies_babies,eggs or babies_can't reproduce,eggs or babies_eggs,domestic or wild_domestic,domestic or wild_wild
cows,0.010999999011,0.005882352210207612,20.0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
chicken,0.02267141571195713,2.573455884245188e-05,7.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
sheep,0.000669999000669999,0.0005588227945285461,11.0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
pig,0.001999999001999999,0.0009191169124405271,17.0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
duck,1.1999000011999e-05,8.822794124134406e-06,7.0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
quail,0.001199999001199999,0.000992646324259299,1.0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
rooster,2.4999000024999e-05,0.02078816221985474,7.0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
chicks,7.9000000079e-08,5.808823533682958e-08,17.840857142857143,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
spiders,5.19000000519e-07,3.301470590662846e-07,20.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
bees,1.000000001e-10,0.0,0.08,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
queen bees,0.0,0.0,2.0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
hawks,9.999000009999e-06,8.455147065040548e-06,20.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
eagles,2.9999000029999e-05,3.308750002432904e-05,25.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
owls,4.459000004459e-06,2.20580882515133e-05,8.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
stingrays,0.002999999002999999,0.00016911691188905656,18.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
bluefin tuna,0.002349999002349999,0.001727940442447015,15.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
blue whales,1.0,0.9999999999999999,85.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
white whales,0.014999999015,0.009999999272058822,42.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
white sharks,0.008499999008499999,0.0165441169239295,60.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
whale sharks,0.14999999915,0.0867647052108564,100.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
blue ringed octopus,2.7900000027900005e-07,3.301470590662846e-07,2.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
octopus,0.00014999900014999902,6.985220593371486e-05,4.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
squid,1.499000001499e-06,0.0011029404419874561,4.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
calamari,1.999000001999e-06,1.1763970596885272e-05,1.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
anaconda,0.002494999002494999,0.0018382345601751725,5.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
python,1.4999000014999e-05,0.000279411029617214,30.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
black mamba,1.0299000010299002e-05,1.1763970596885272e-05,11.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
green tree snakes,1.2499000012499001e-05,0.00036764632379973996,15.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
blood worms,0.02267141571195713,0.02078816221985474,0.008,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
earthworms,1.5000000014999998e-09,1.1029411772815745e-09,8.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
mice,1.89000000189e-07,1.8308823542874135e-07,16.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
rats,3.999000003999e-06,2.0213235308980324e-06,2.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
pigeons,3.699000003699e-06,2.5727941195388194e-06,15.0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
pelicans,3.9999000039999004e-05,5.735220592452368e-05,20.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
flamingo,3.4999000034999e-05,2.573455884245188e-05,25.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
whitetail deer ,0.0006299990006299991,0.0003308816178903541,6.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
european bee eater,5.99000000599e-07,4.0367647088505624e-07,6.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
hedghog,4.999000004999e-06,5.507352945225994e-07,5.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
kangaroo,0.0006999990006999991,0.00021323455898031952,8.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
pandas,0.000999999000999999,0.0007647051476211067,17.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
penguins,9.999000009999e-06,0.00014705808834342506,17.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
girafe,0.019050999019051,0.008676469859320933,25.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
lion,0.001999999001999999,0.0010294110301686846,9.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
tucan,6.199000006199001e-06,3.0875000022702208e-06,16.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
hippo,0.017999999018,0.010294116919333908,45.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
rhino,0.023999999024,0.011764705155709342,45.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
red panda,4.9999000049999007e-05,4.0440441206206206e-05,17.840857142857143,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
emu,0.00041999900041999905,3.676397061526762e-05,7.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ostrich,0.001499999001499999,0.000735293382893598,35.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
hyena,0.0005899990005899991,0.0005220580886191603,12.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
jaguar,0.001199999001199999,0.0005588227945285461,13.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
leopard,0.00046999900046999906,0.00011764632361591642,14.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
komodo dragon,0.0013999990013999991,0.0005147051474372832,30.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
lizard,4.999000004999e-06,2.941176472750865e-09,5.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
monkey,5.9999000059999e-05,3.308750002432904e-05,27.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
cougar,0.0007799990007799991,0.0003308816178903541,10.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
panther,0.0005299990005299991,0.00026470514725345965,14.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
mountain lion,0.000619999000619999,0.0003308816178903541,10.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
